dataset,index,order,depth,method,run,time_seconds
AdultCensusLocalXAI,BII,1,8,interventional,1,0.0013389170053415
AdultCensusLocalXAI,BII,1,8,interventional,2,0.0007256669923663139
AdultCensusLocalXAI,BII,1,8,interventional,3,0.0007022499921731651
AdultCensusLocalXAI,BII,1,8,interventional,4,0.0006932499818503857
AdultCensusLocalXAI,BII,1,8,interventional,5,0.0006930409581400454
AdultCensusLocalXAI,BII,2,2,fourier,1,0.0008189170039258897
AdultCensusLocalXAI,BII,2,2,fourier,2,0.0006501669995486736
AdultCensusLocalXAI,BII,2,2,fourier,3,0.0006310000317171216
AdultCensusLocalXAI,BII,2,2,fourier,4,0.0006545409560203552
AdultCensusLocalXAI,BII,2,2,fourier,5,0.0006437079864554107
AdultCensusLocalXAI,BII,2,2,interventional,1,0.00022233399795368314
AdultCensusLocalXAI,BII,2,2,interventional,2,0.00020779098849743605
AdultCensusLocalXAI,BII,2,2,interventional,3,0.00021341704996302724
AdultCensusLocalXAI,BII,2,2,interventional,4,0.00019212503684684634
AdultCensusLocalXAI,BII,2,2,interventional,5,0.00019712495850399137
AdultCensusLocalXAI,BII,2,3,fourier,1,0.0017367079854011536
AdultCensusLocalXAI,BII,2,3,fourier,2,0.0017662080354057252
AdultCensusLocalXAI,BII,2,3,fourier,3,0.0018310419982299209
AdultCensusLocalXAI,BII,2,3,fourier,4,0.0016539579955860972
AdultCensusLocalXAI,BII,2,3,fourier,5,0.001791000016964972
AdultCensusLocalXAI,BII,2,3,interventional,1,0.0002780829672701657
AdultCensusLocalXAI,BII,2,3,interventional,2,0.00023133400827646255
AdultCensusLocalXAI,BII,2,3,interventional,3,0.00022879202151671052
AdultCensusLocalXAI,BII,2,3,interventional,4,0.00021562498295679688
AdultCensusLocalXAI,BII,2,3,interventional,5,0.00023095798678696156
AdultCensusLocalXAI,BII,2,4,fourier,1,0.004945916996803135
AdultCensusLocalXAI,BII,2,4,fourier,2,0.005184332956559956
AdultCensusLocalXAI,BII,2,4,fourier,3,0.004970917012542486
AdultCensusLocalXAI,BII,2,4,fourier,4,0.0049888750072568655
AdultCensusLocalXAI,BII,2,4,fourier,5,0.005959041009191424
AdultCensusLocalXAI,BII,2,4,interventional,1,0.00028479204047471285
AdultCensusLocalXAI,BII,2,4,interventional,2,0.00023779203183948994
AdultCensusLocalXAI,BII,2,4,interventional,3,0.00022454099962487817
AdultCensusLocalXAI,BII,2,4,interventional,4,0.00023212499218061566
AdultCensusLocalXAI,BII,2,4,interventional,5,0.00021283398382365704
AdultCensusLocalXAI,BII,2,5,fourier,1,0.014421624946407974
AdultCensusLocalXAI,BII,2,5,fourier,2,0.015773291001096368
AdultCensusLocalXAI,BII,2,5,fourier,3,0.01662966696312651
AdultCensusLocalXAI,BII,2,5,fourier,4,0.01640970795415342
AdultCensusLocalXAI,BII,2,5,fourier,5,0.01610095804790035
AdultCensusLocalXAI,BII,2,5,interventional,1,0.00037275004433467984
AdultCensusLocalXAI,BII,2,5,interventional,2,0.0003863330348394811
AdultCensusLocalXAI,BII,2,5,interventional,3,0.00024862500140443444
AdultCensusLocalXAI,BII,2,5,interventional,4,0.00029395800083875656
AdultCensusLocalXAI,BII,2,5,interventional,5,0.0002584169851616025
AdultCensusLocalXAI,BII,2,6,fourier,1,0.05114129098365083
AdultCensusLocalXAI,BII,2,6,fourier,2,0.05208583298372105
AdultCensusLocalXAI,BII,2,6,fourier,3,0.0528160419780761
AdultCensusLocalXAI,BII,2,6,fourier,4,0.0518243329715915
AdultCensusLocalXAI,BII,2,6,fourier,5,0.052413250028621405
AdultCensusLocalXAI,BII,2,6,interventional,1,0.000750000006519258
AdultCensusLocalXAI,BII,2,6,interventional,2,0.0003891249652951956
AdultCensusLocalXAI,BII,2,6,interventional,3,0.00032166700111702085
AdultCensusLocalXAI,BII,2,6,interventional,4,0.00030999997397884727
AdultCensusLocalXAI,BII,2,6,interventional,5,0.0003160840133205056
